Date,Month,Day,Binds,DailyEV,MTDEV,DialerHC,OutBoundLeads,Conversion,LeadsperAgent,TotalHC,Unavail,Age,InBinds,InCalls,OutBinds,Attend,BindsperAgent
7/1/2014,7,Tue,419,202.2325239,202.2325239,169,16953,0.02471539,100.3136095,190,21,222.5,56,151,363,0.889473684,2.205263158
7/2/2014,7,Wed,387,208.7082882,205.3418549,176,15069,0.025681863,85.61931818,190,14,223.5,55,125,332,0.926315789,2.036842105
7/3/2014,7,Thur,508,201.029465,203.67466,168,14269,0.035601654,84.93452381,190,22,224.4,64,160,444,0.884210526,2.673684211
7/7/2014,7,Mon,333,214.3609717,205.9153079,186,15099,0.022054441,81.17741935,202,16,207,58,188,275,0.920792079,1.648514851
7/8/2014,7,Tue,356,198.4770331,204.5939377,192,15230,0.023374918,79.32291667,202,10,208,53,174,303,0.95049505,1.762376238
7/9/2014,7,Wed,360,208.7328367,205.2242269,185,14531,0.02477462,78.54594595,201,16,209.7,53,162,307,0.92039801,1.791044776
7/10/2014,7,Thur,405,210.5636638,206.0051846,187,15309,0.026455026,81.86631016,198,11,212.3,64,160,341,0.944444444,2.045454545
7/11/2014,7,Fri,472,206.4567124,206.0709425,185,14874,0.031733226,80.4,198,13,213.2,75,151,397,0.934343434,2.383838384
7/14/2014,7,Mon,379,205.7012809,206.342893,181,14613,0.025935811,80.73480663,197,16,217,69,189,310,0.918781726,1.923857868
7/15/2014,7,Tue,353,197.566741,205.5668455,177,14170,0.024911785,80.05649718,196,19,215.7,52,130,301,0.903061224,1.801020408
7/16/2014,7,Wed,307,203.4490073,205.4156065,177,15143,0.020273394,85.55367232,194,17,217.4,62,158,245,0.912371134,1.582474227
7/17/2014,7,Thur,339,205.1352682,205.3951161,175,15049,0.022526414,85.99428571,193,18,218.1,67,152,272,0.906735751,1.756476684
7/18/2014,7,Fri,456,210.0276865,205.8098102,168,13018,0.035028422,77.48809524,188,20,219.6,75,158,381,0.893617021,2.425531915
7/21/2014,7,Mon,321,188.8245193,204.6636159,172,12288,0.026123047,71.44186047,187,15,221,76,167,245,0.919786096,1.71657754
7/22/2014,7,Tue,194,218.0069713,205.1206447,176,8916,0.021758636,50.65909091,185,9,224,55,98,139,0.951351351,1.048648649
7/23/2014,7,Wed,306,217.288308,205.7443139,172,9065,0.033756205,52.70348837,185,13,225,73,150,233,0.92972973,1.654054054
7/24/2014,7,Thur,261,230.8659647,206.7965929,164,8991,0.029029029,54.82317073,185,21,226,75,210,186,0.886486486,1.410810811
7/25/2014,7,Fri,403,225.6533673,207.9420979,169,8797,0.045811072,52.05325444,183,14,228.6,91,213,312,0.923497268,2.202185792
7/28/2014,7,Mon,311,232.4556122,208.9588726,156,9159,0.033955672,58.71153846,182,26,232.7,76,251,235,0.857142857,1.708791209
7/29/2014,7,Tue,301,217.5761994,209.3136551,181,9159,0.03286385,50.60220994,200,19,212.8,83,188,218,0.905,1.505
7/30/2014,7,Wed,316,245.5512905,210.815044,183,9256,0.034140017,50.57923497,200,17,213.7,87,19,229,0.915,1.58
7/31/2014,7,Thur,405,223.1203091,211.4355161,183,9443,0.042888912,51.6010929,200,17,211.9,115,26,290,0.915,2.025
8/1/2014,8,Fri,517,215.2650634,215.2650634,187,9338,0.055365175,49.93582888,199,12,213.9,61,299,456,0.939698492,2.59798995
8/4/2014,8,Mon,352,204.8137543,211.0275809,180,10067,0.03496573,55.92777778,199,19,216.6,48,313,304,0.904522613,1.768844221
8/5/2014,8,Tue,314,222.1104132,213.954418,180,9954,0.031545107,55.3,199,19,218.6,28,227,286,0.904522613,1.577889447
8/6/2014,8,Wed,327,216.6481337,214.5354504,182,9981,0.032762248,54.84065934,199,17,219.6,42,27,285,0.914572864,1.64321608
8/7/2014,8,Thur,338,214.2266241,214.4791487,177,9989,0.033837221,56.43502825,199,22,220.6,48,297,290,0.889447236,1.698492462
8/8/2014,8,Fri,422,247.391743,220.5815717,176,9946,0.042429117,56.51136364,198,22,222.6,54,268,368,0.888888889,2.131313131
8/11/2014,8,Mon,301,209.9063767,218.9155182,167,9339,0.032230432,55.92215569,198,31,225.6,49,267,252,0.843434343,1.52020202
8/12/2014,8,Tue,264,220.5024848,219.0602364,172,9521,0.02772818,55.35465116,195,23,227.5,32,247,232,0.882051282,1.353846154
8/13/2014,8,Wed,288,219.2135133,219.074105,193,10782,0.026711185,55.86528497,210,17,209.9,38,244,250,0.919047619,1.371428571
8/14/2014,8,Thur,300,221.5499207,219.2873536,183,10073,0.029782587,55.04371585,209,26,210.2,29,239,271,0.875598086,1.435406699
8/15/2014,8,Fri,395,213.109622,218.6581107,177,9669,0.040852208,54.62711864,209,32,211.2,68,275,327,0.846889952,1.889952153
8/18/2014,8,Mon,269,222.4716987,218.6271485,176,9935,0.027075994,56.44886364,209,33,214.2,43,312,226,0.842105263,1.28708134
8/19/2014,8,Tue,271,226.1987111,219.0861851,178,10061,0.026935692,56.52247191,206,28,214.1,35,231,236,0.86407767,1.315533981
8/20/2014,8,Wed,266,217.9557254,219.0226922,175,9876,0.026933981,56.43428571,197,22,217.6,30,251,236,0.888324873,1.350253807
8/21/2014,8,Thur,291,217.7204355,218.9473079,176,9857,0.029522167,56.00568182,197,21,218.6,45,220,246,0.893401015,1.47715736
8/22/2014,8,Fri,362,210.4343693,218.3754609,168,9642,0.037544078,57.39285714,197,29,219.6,46,246,316,0.852791878,1.837563452
8/25/2014,8,Mon,280,223.7213417,218.3788329,167,10241,0.02734108,61.32335329,197,30,222.6,42,317,238,0.847715736,1.421319797
8/26/2014,8,Tue,260,240.8755312,219.3558066,185,9748,0.026672138,52.69189189,216,31,199,39,212,221,0.856481481,1.203703704
8/27/2014,8,Wed,149,214.9563645,219.2489753,147,4384,0.033987226,29.82312925,167,20,187.8,26,24,123,0.880239521,0.892215569
8/28/2014,8,Thur,203,219.0979045,219.2441374,147,7367,0.027555314,50.11564626,167,20,185.6,21,230,182,0.880239521,1.215568862
8/29/2014,8,Fri,314,211.8409185,218.8947295,142,7226,0.043454193,50.88732394,167,25,186.5,54,244,260,0.850299401,1.880239521
9/2/2014,9,Tue,257,265.0996867,265.0996867,139,7531,0.034125614,54.17985612,166,27,187.5,105,308,152,0.837349398,1.548192771
9/3/2014,9,Wed,307,257.0962958,260.743231,150,7418,0.041385818,49.45333333,166,16,188.5,119,342,188,0.903614458,1.84939759
9/4/2014,9,Thur,271,270.2686829,263.834725,152,7075,0.038303887,46.54605263,161,9,191.4,106,277,165,0.944099379,1.683229814
9/5/2014,9,Fri,330,256.4962582,261.7560176,150,6271,0.052623186,41.80666667,160,10,193.6,119,318,211,0.9375,2.0625
9/8/2014,9,Mon,245,254.1479176,259.9526278,144,6592,0.037166262,45.77777778,160,16,196.5,97,289,148,0.9,1.53125
9/9/2014,9,Tue,247,240.4487229,257.0713691,152,6552,0.037698413,43.10526316,160,8,197.5,126,413,121,0.95,1.54375
9/10/2014,9,Wed,258,248.7568201,255.9598905,152,6760,0.03816568,44.47368421,157,5,195.9,86,314,172,0.968152866,1.643312102
9/11/2014,9,Thur,271,279.4231469,258.848824,154,7294,0.037153825,47.36363636,163,9,189.7,101,304,170,0.944785276,1.662576687
9/12/2014,9,Fri,364,270.4089767,260.4893291,153,7145,0.050944717,46.69934641,163,10,190.7,146,291,218,0.938650307,2.233128834
9/15/2014,9,Mon,247,250.4031219,259.0194914,156,7190,0.034353268,46.08974359,172,16,183.5,79,217,168,0.906976744,1.436046512
9/16/2014,9,Tue,211,281.6018379,260.5791887,154,6657,0.031695959,43.22727273,171,17,184,73,281,138,0.900584795,1.233918129
9/17/2014,9,Wed,242,255.2678481,260.1893359,151,6676,0.036249251,44.21192053,172,21,185.5,84,243,158,0.877906977,1.406976744
9/18/2014,9,Thur,245,272.5506753,261.0443693,155,6636,0.036919831,42.81290323,168,13,186.3,92,235,153,0.922619048,1.458333333
9/19/2014,9,Fri,332,256.5330545,260.6577517,156,6691,0.049618891,42.89102564,167,11,188.3,107,196,225,0.934131737,1.988023952
9/22/2014,9,Mon,260,239.6369345,259.6941117,145,7486,0.034731499,51.62758621,168,23,190.3,98,325,162,0.863095238,1.547619048
9/23/2014,9,Tue,262,265.0287631,260.004087,153,7608,0.034437434,49.7254902,167,14,192.2,84,291,178,0.916167665,1.568862275
9/24/2014,9,Wed,308,252.0675487,259.4966231,152,7745,0.039767592,50.95394737,163,11,191,115,318,193,0.932515337,1.889570552
9/25/2014,9,Thur,276,273.5000375,260.2554965,149,7715,0.035774465,51.77852349,163,14,192,105,290,171,0.914110429,1.693251534
9/26/2014,9,Fri,334,247.7536196,259.4860793,148,7697,0.04339353,52.00675676,163,15,192.9,120,306,214,0.90797546,2.049079755
9/29/2014,9,Mon,303,252.9700127,259.4849,154,8012,0.037818273,52.02597403,163,9,195.9,122,398,181,0.944785276,1.858895706
9/30/2014,9,Tue,316,261.4075069,259.5841557,148,7950,0.039748428,53.71621622,163,15,195.9,131,280,185,0.90797546,1.938650307
10/1/2014,10,Wed,322,250.3507651,250.3507651,148,7850,0.041019108,53.04054054,163,15,197.9,109,253,213,0.90797546,1.975460123
10/2/2014,10,Thur,264,267.0989491,257.8960221,149,7750,0.034064516,52.01342282,162,13,199.4,95,194,169,0.919753086,1.62962963
10/3/2014,10,Fri,447,241.023402,250.594898,154,7935,0.056332703,51.52597403,162,8,200.5,145,247,302,0.950617284,2.759259259
10/6/2014,10,Mon,247,271.4089551,254.6113606,147,7937,0.031120071,53.99319728,179,32,182.9,98,275,149,0.82122905,1.379888268
10/7/2014,10,Tue,233,264.676276,256.1613442,151,7318,0.0318393,48.46357616,179,28,183.9,74,179,159,0.843575419,1.301675978
10/8/2014,10,Wed,215,236.4488203,253.7086864,143,7714,0.027871403,53.94405594,179,36,184.9,61,145,154,0.798882682,1.201117318
10/9/2014,10,Thur,247,256.5438543,254.0632619,151,7253,0.034054874,48.03311258,176,25,186.2,69,228,178,0.857954545,1.403409091
10/10/2014,10,Fri,327,262.6280442,255.2798926,146,7269,0.044985555,49.78767123,176,30,187.2,96,241,231,0.829545455,1.857954545
10/13/2014,10,Mon,184,267.9786587,255.9164615,132,7642,0.024077467,57.89393939,177,45,191.8,56,253,128,0.745762712,1.039548023
10/14/2014,10,Tue,224,271.5267271,257.1898408,139,7719,0.029019303,55.5323741,177,38,192.8,56,292,168,0.785310734,1.265536723
10/15/2014,10,Wed,253,251.4153796,256.7026988,143,7794,0.032460867,54.5034965,176,33,191.1,59,318,194,0.8125,1.4375
10/16/2014,10,Thur,234,249.0937854,256.1519763,140,7489,0.031245827,53.49285714,175,35,187.9,58,284,176,0.8,1.337142857
10/17/2014,10,Fri,315,259.9480229,256.4889985,130,7153,0.044037467,55.02307692,175,45,193.8,71,298,244,0.742857143,1.8
10/20/2014,10,Mon,239,243.4084378,255.6677484,142,7258,0.032929182,51.11267606,172,30,198.5,57,309,182,0.825581395,1.389534884
10/21/2014,10,Tue,213,241.0113419,254.9007178,138,7139,0.029836112,51.73188406,177,39,182.6,45,302,168,0.779661017,1.203389831
10/22/2014,10,Wed,218,259.5065062,255.134874,137,7169,0.030408704,52.32846715,177,40,183.6,45,305,173,0.774011299,1.231638418
10/23/2014,10,Thur,267,270.6883995,256.0465735,142,7191,0.037129746,50.64084507,174,32,185.7,64,298,203,0.816091954,1.534482759
10/24/2014,10,Fri,353,258.8817943,256.2504922,136,7280,0.048489011,53.52941176,168,32,187.6,88,378,265,0.80952381,2.101190476
10/27/2014,10,Mon,222,257.3231103,256.4591706,134,7448,0.02980666,55.58208955,168,34,190.6,74,473,148,0.797619048,1.321428571
10/28/2014,10,Tue,217,289.8956956,257.7981125,130,7237,0.0299848,55.66923077,166,36,192.6,64,365,153,0.78313253,1.307228916
10/29/2014,10,Wed,207,274.9059587,258.4275693,133,7188,0.028797997,54.04511278,166,33,193.6,60,324,147,0.801204819,1.246987952
10/30/2014,10,Thur,274,239.9523281,257.5695666,138,7396,0.037047052,53.5942029,166,28,194.6,106,453,168,0.831325301,1.65060241
10/31/2014,10,Fri,429,239.3218506,256.3326776,128,7273,0.058985288,56.8203125,164,36,197.1,130,393,299,0.780487805,2.615853659
11/3/2014,11,Mon,325,227.9788751,227.5956644,127,7445,0.043653459,58.62204724,159,32,196.8,129,502,196,0.798742138,2.044025157
11/4/2014,11,Tue,301,240.5895983,233.8335816,135,7231,0.041626331,53.56296296,166,31,188.8,103,340,198,0.813253012,1.813253012
11/5/2014,11,Wed,267,249.2916201,238.4502441,131,7271,0.036721221,55.50381679,166,35,189.8,96,354,171,0.789156627,1.608433735
11/6/2014,11,Thur,291,262.6809842,244.4005777,137,7246,0.040160088,52.89051095,164,27,192.2,113,349,178,0.835365854,1.774390244
11/7/2014,11,Fri,333,240.3989104,243.5227416,134,7393,0.045042608,55.17164179,166,32,196.1,124,498,209,0.807228916,2.006024096
11/10/2014,11,Mon,246,223.4504962,240.9589296,128,7404,0.033225284,57.84375,164,36,196.2,95,415,151,0.780487805,1.5
11/12/2014,11,Wed,227,249.0246005,244.429652,127,7180,0.031615599,56.53543307,162,35,200.1,87,350,140,0.783950617,1.401234568
11/11/2014,11,Tue,239,266.1611787,243.9173469,130,7222,0.033093326,55.55384615,163,33,198.1,91,348,148,0.797546012,1.466257669
11/13/2014,11,Thur,253,227.8425013,242.7617072,130,7604,0.033271962,58.49230769,161,31,201.9,90,379,163,0.807453416,1.571428571
11/14/2014,11,Fri,315,213.956231,243.3268007,134,7715,0.040829553,57.57462687,161,27,202.9,139,475,176,0.832298137,1.956521739
11/17/2014,11,Mon,287,243.0964793,242.9409506,127,7681,0.037364926,60.48031496,160,33,204.3,108,388,179,0.79375,1.79375
11/18/2014,11,Tue,187,284.4050787,245.1916885,131,7560,0.02473545,57.70992366,170,39,198.1,64,371,123,0.770588235,1.1
11/19/2014,11,Wed,260,258.5827049,246.1314089,130,7402,0.035125642,56.93846154,170,40,199.1,77,223,183,0.764705882,1.529411765
11/20/2014,11,Thur,267,248.5171043,246.2917766,132,7414,0.036012948,56.16666667,170,38,200,82,312,185,0.776470588,1.570588235
11/21/2014,11,Fri,356,246.6101439,246.317964,135,7513,0.047384533,55.65185185,170,35,201,110,346,246,0.794117647,2.094117647
11/24/2014,11,Mon,260,239.7067251,245.7570651,127,7633,0.034062623,60.1023622,168,41,205.8,90,340,170,0.755952381,1.547619048
11/25/2014,11,Tue,245,228.5634154,244.8987839,129,7096,0.034526494,55.00775194,167,38,207.8,59,130,186,0.77245509,1.467065868
11/26/2014,11,Wed,284,259.6464601,245.705475,122,7696,0.036902287,63.08196721,165,43,209.9,64,157,220,0.739393939,1.721212121
11/28/2014,11,Fri,358,238.9993112,245.2728972,114,5935,0.060320135,52.06140351,165,51,211.8,93,203,265,0.690909091,2.16969697
11/29/2014,11,Sat,67,231.7714675,245.1118511,50,1350,0.04962963,27,165,115,211.8,14,0,53,0.303030303,0.406060606
12/1/2014,12,Mon,318,230.5038039,230.5038039,122,7821,0.040659762,64.10655738,168,46,213.7,110,339,208,0.726190476,1.892857143
12/2/2014,12,Tue,295,251.6426178,240.725533,126,7486,0.039406893,59.41269841,165,39,214.7,100,269,195,0.763636364,1.787878788
12/3/2014,12,Wed,328,251.665993,244.5212028,127,7331,0.044741509,57.72440945,165,38,215.7,107,265,221,0.76969697,1.987878788
12/4/2014,12,Thur,284,241.8015102,243.8889247,127,8244,0.034449296,64.91338583,165,38,216.7,92,282,192,0.76969697,1.721212121
12/5/2014,12,Fri,337,255.2533105,246.3482717,128,7511,0.044867528,58.6796875,165,37,217.7,100,331,237,0.775757576,2.042424242
12/8/2014,12,Mon,250,273.5326412,251.4186471,124,7400,0.033783784,59.67741935,165,41,224.1,75,301,175,0.751515152,1.515151515
12/9/2014,12,Tue,240,256.2773957,251.9855405,117,7305,0.032854209,62.43589744,165,48,225,84,251,156,0.709090909,1.454545455
12/10/2014,12,Wed,267,261.1403227,253.0373162,126,7372,0.036218123,58.50793651,162,36,228.6,78,301,189,0.777777778,1.648148148
12/11/2014,12,Thur,274,280.1898885,255.8822699,122,7326,0.037401037,60.04918033,160,38,228.5,75,264,199,0.7625,1.7125
12/12/2014,12,Fri,334,270.1137152,257.5002526,125,7501,0.044527396,60.008,158,33,231.5,102,302,232,0.791139241,2.113924051
12/15/2014,12,Mon,276,237.6926853,254.8374574,122,7346,0.037571467,60.21311475,158,36,234.5,76,275,200,0.772151899,1.746835443
12/16/2014,12,Tue,226,245.9970402,254.2721552,127,7167,0.031533417,56.43307087,158,31,235.5,69,214,157,0.803797468,1.430379747
12/17/2014,12,Wed,253,261.5654998,254.7598029,121,7229,0.034997925,59.74380165,158,37,236.5,64,218,189,0.765822785,1.601265823
12/18/2014,12,Thur,224,275.2957947,255.9113056,123,7222,0.031016339,58.71544715,158,35,237.5,59,220,165,0.778481013,1.417721519
12/19/2014,12,Fri,343,267.9788703,256.8643023,127,7306,0.046947714,57.52755906,158,31,238.5,90,300,253,0.803797468,2.170886076
12/22/2014,12,Mon,221,252.0034025,256.6276292,117,7356,0.030043502,62.87179487,158,41,241.5,77,276,144,0.740506329,1.398734177
12/23/2014,12,Tue,249,282.1681979,257.9457489,119,7213,0.034521004,60.61344538,158,39,242.5,67,219,182,0.753164557,1.575949367
12/24/2014,12,Wed,184,261.7278277,258.0850365,104,5683,0.032377266,54.64423077,158,54,243.4,36,158,148,0.658227848,1.164556962
12/26/2014,12,Fri,316,232.2816361,256.5422031,89,7109,0.044450696,79.87640449,158,69,245.4,75,372,241,0.563291139,2
12/29/2014,12,Mon,210,272.0953144,257.1860848,111,7533,0.02787734,67.86486486,161,50,240.4,68,380,142,0.689440994,1.304347826
12/30/2014,12,Tue,225,259.8965879,257.2922118,120,7474,0.030104362,62.28333333,161,41,241.4,83,349,142,0.745341615,1.397515528
12/31/2014,12,Wed,270,252.4593317,257.0759467,111,6959,0.038798678,62.69369369,165,54,233.8,85,350,185,0.672727273,1.636363636
