Date,AK,AL,AR,AZ,CA,CO,CT,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,NA,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,VT,WA,WI,WV
11/4/2014,,173.4328571,333.33,143.935,133.34,230.845,266.8769231,288.41,210.9678947,,,,131.8075,289.2575,,,,,,,104.1666667,347.15,332.7975,,,,,286.9045455,220,233.66,279.1172,191.6418182,280.432,263.39,190.605,,218.1269231,156.4145455,273.1964063,254.9275,307.0595,,207.7416667,94.88333333,173.2933333
11/5/2014,,,350,403.865,303.1033333,220,258.2590909,276.1866667,221.7021429,,,,,198.325,,,,,,,256.95,220,71.26,,,,,313.9973333,376.4666667,,383.1746667,164.9632143,192.3257143,113.71,229.9309091,,201.607,288.085,257.1727941,234.6242857,371.48375,,276.8115385,121.15,363.7366667
11/6/2014,,225.1291667,184.3566667,415.712,,280.8075,230.355,510.6875,207.6723077,,,,,189.85,,,,,,,277.4416667,364.845,334.785,,,,,338.31375,94.3,,326.5247059,163.8276923,224.4871429,253.9985714,305.2964286,,316.95,270.9783333,274.1355882,220,247.8229412,,264.9175,214.1275,441.506
11/7/2014,,313.6633333,196.7528571,273.1442857,198.025,279.335,379.175,313.19,232.5175676,,,,223.075,,,,,,,,184.83,191.9833333,246.495,,,,,400.5129412,198.8766667,,379.4194118,203.0357143,211.5388889,147.5116667,170.479375,,204.6085714,177.9707143,273.7485294,282.1116667,350.98,,289.1654545,230.265,318.83
11/8/2014,,,,40.27,,247.17,,,136.95,,,,,,,,,,,,,351.32,,,,,,312.85,,,244.8166667,184.07,274.29,,220,,,25.53,496.1685714,220,298.2533333,,320.33,93.935,
11/10/2014,,239.761,63.22,189.7233333,,237.865,237.7725,298.5366667,220.4636842,,,86.44,155.698,147.3633333,153.36,,,,,,107.115,174.738,,,179.52,,,284.120625,,,296.9222222,189.7713333,355.7571429,272.68,279.136,,137.7664286,113.3114286,219.0904348,234.545,290.7452941,,419.76,15.71,185.565
11/11/2014,,145.5933333,279.97,496.495,182.8,256.4716667,591.08,524.75,231.9947619,,,,168.625,271.26,,,,,,,107.16,222.63,403.16,,,,,328.7691667,283.7642857,,297.2875,154.8447619,94.29,203.892,200.34125,,320.841,191.3133333,352.1781818,212.7166667,336.2633333,,318.68,104.49,376.1
11/12/2014,,349.6633333,158.29,180.4533333,267.14,235.605,218.584,212.605,241.5513636,,,,119.39,509.64,,,,270.93,,,198.9533333,588.49,58.82,,121.62,,,381.5789474,220,,426.7118182,165.3835714,163.2975,354.47,195.073125,,227.1266667,188.76,256.7788,294.855,262.6222222,,247.6744444,174.9066667,289.0766667
11/13/2014,,140.044,337.05,394.7533333,199.7466667,351.1766667,288.1966667,,198.6557895,,,,163.36,127.988,,,,,,,259.29875,511.8783333,278.76,,,,,305.162,233.13,,212.232,157.9177778,356.786,328.094,174.494,,320.1178571,259.4777778,265.7194118,234.3683333,283.81,,176.7142857,68.0975,400.08
11/14/2014,,172.1975,148.1225,172.91,220,273.21375,227.9345455,251.5525,229.1605714,,,,241.14,210.2466667,155.23,,,,,,262.1185714,167.6042857,252.74625,,,,45.19,378.04375,148.5066667,,280.706087,205.4221212,262.9633333,295.01,166.0515,502.44,259.7578947,200.5209091,258.8662921,217.6591667,349.1135294,,185.6042857,231.96,254.04
11/15/2014,,,337.42,,,296.425,94.36,,183.1214286,,,,367.38,,,,,,,,196.5433333,109.3,,,,,,249.25,,,163.9066667,148.2214286,25.02,387.9,97.64,,123.6166667,165.38,313.9182353,220,325.8466667,,301.9633333,132.28,239.115
11/17/2014,,140.75,356.595,297.1185714,199.798,158.915,236.2472727,342.886,198.2986207,115.92,,,186.43,278.05,,,,,,,257.6675,204.1577778,291.3466667,,381.19,,155.74,379.616087,285.775,,286.08875,219.4871429,183.004,240.56,200.4825,,188.3583333,205.5153333,282.4141509,233.42,362.9825,,591.1575,134.69,106.165
11/18/2014,,242.5685714,458.25,130.3166667,305,185.3883333,215.1866667,357.51,244.086875,,,,263.945,269.78,,,,,,,193.4475,360.13,246.645,,,,,527.9025,112.87,,237.0228571,203.737,266.946,227.72,251.932,,301.79875,396.2357143,331.3347727,318.28,302.434,,304.3914286,202.935,722.1333333
11/19/2014,,172.06,,481.3066667,174.97,218.5825,258.15,207.29,237.9125,,,,121.1,196.76,,,,,,,156.045,250.0985714,180.384,,,,,477.8663158,205.495,,283.5646667,220.742963,363.2014286,253.022,172.7585714,,286.6957143,65.292,288.1876786,187.0775,274.6616667,,327.9944444,90.05,497.66
11/20/2014,,245.0333333,395.47,108.645,220,160.3675,266.9907143,418.18,216.44,,,,274.3475,111.2,401.63,,,,,,215.2266667,198.6525,293.33,,218.19,,,362.7052632,,,187.9446154,176.3664706,257.2525,147.04,237.365,,278.33,263.6675,320.7892157,195.89,269.1327273,,256.2157143,176.3866667,194.9866667
11/21/2014,,161.1614286,332.0127273,45.63,255,355.0166667,224.6457143,371.33375,249.7931818,,,86.73,389.13,466.245,,,,,,,223.192,229.0533333,242.546,,,,,392.035,149.75,,185.7316667,218.5682609,203.99375,240.9377778,205.8647368,,240.8176471,333.76875,312.9469333,191.036,215.6,,190.1775,160.926,283.5766667
11/22/2014,,93.23,,642.34,,207.8166667,230.39,204.8,227.44,220,,,,,,,,,,,,268.675,88.59,,,,,349.92,504.31,,199.54,130.1111111,235.51,220,147.2966667,,156.904,,241.9625,266.5333333,334.3142857,,401.93,,483.12
11/24/2014,,309.9433333,306.454,244.8175,309.305,211.6071429,271.3766667,139.86,232.745,,,,162.51,206.22,37.41,,,,,,159.0011111,228.93,214.5633333,,48.725,,,438.2627273,368.1833333,,244.8552632,159.6392,294.066,242.1425,222.76875,,281.2207143,157.40875,287.623871,313.86,271.3885,,326.195,158.88,
11/25/2014,,201.4175,360.456,196.47,,193.36,375.5,460.35,213.0113333,,,194.85,216.7716667,183.4675,,,,,,,201.71,226.345,245.25,,,,,419.67,234.7283333,,333.6633333,181.0670588,202.1775,206.6066667,199.0969231,,340.606,254.6077778,264.7884127,209.8,277.948125,,194.2757143,53.272,194.985
11/26/2014,,418.0844444,256.4316667,239.122,254.6233333,233.578,338.7111111,364.465,211.4417391,,,252.48,273.785,146.53,216.73,,,,,,187.2083333,271.6033333,291.733,,140.47,,,338.426,326.415,,287.8144444,275.6585,235.972,222.672,289.3525,,225.5007143,250.4655556,284.07875,311.44,187.348,,292.6385714,181.52,445.3233333
11/28/2014,,505.685,286.3175,205.37,141.72,190.5542857,358.253125,229.54,219.5821277,,,,258.715,198.864,,,,,,,222.285,229.5122222,217.7075,,,,,326.2977778,220,,224.6541667,223.3746341,304.95,450.4425,266.369375,,208.0766667,151.0923077,278.0125,291.0033333,164.4864286,,155.8183333,168.9566667,254.11
11/29/2014,,,,,,,235.164,,190.3314286,,,,475,,,,,,,,349.59,475,127.67,,,,,311.165,,,257.3275,229.22,350.5633333,,237.09,,272.3466667,192.425,263.099375,,238.38,,,,24.67
12/1/2014,,287.59,116.7366667,235.094,216.29,233.1233333,288.69,144.025,205.9913043,,,,179.7566667,245.0766667,,,,,,,360.5185714,179.015,225.5733333,,147.67,92.69,185.68,316.6827273,237.926,,274.7788,160.8194444,219.934,156.02375,246.3815385,,254.31,307.612,224.0747541,140.5533333,339.1373333,,229.025,84.82,365.895
12/2/2014,,229.87,798.02,325.86,38.45,175.5571429,197.553,430.92,224.7021212,,,,355.73,131.11,,,,,,,353.6675,206.388,152.816,,176,,,342.8422222,220,,252.4344444,167.3025,203.24,195.71,183.07375,,179.98,260.75,267.5150877,282.0833333,367.7413043,,336.47375,230.1283333,329.81
12/3/2014,,274.29,310.91,421.9325,220,193.0233333,257.38,253.97,235.84375,,,43.15,389.09,,335.63,,,,,,161.3283333,214.5388889,428.50875,,280.86,,,315.884,238.9233333,,248.9572222,157.7393333,51.44,134.0766667,222.4842857,,180.1592857,281.05,276.7015942,259.428,306.6461111,,248.8385714,239.355,299.0966667
12/4/2014,,743.615,267.0533333,200.474,220,217.594,264.9114286,329.785,217.4672414,,,,298.79,233.02,28.95,,,,,,173.26,311.255,249.8518182,,71.855,,,330.7817647,139.7925,,169.877,161.1188889,418.1275,194.7533333,154.226875,,299.9969231,246.235,270.9841667,220,239.2033333,,215.7371429,79.245,440.3766667
12/5/2014,,265.6566667,110.79,272.165,142.76,335.868,215.9158333,488.3,240.3165385,,,135,,199.765,135.68,,,,,,166.415,215.2081818,220.8225,,,,,389.67625,246.56,,287.0173684,205.41375,241.6028571,234.39,225.776875,,315.9216667,299.1833333,271.3784,295.134,234.5484211,,266.0791667,142.92,321.2625
12/6/2014,,,,,,,569.61,,585.42,,,,,,,,,,,,,305.92,,,,,,348.555,,,,1020.295,21.19,303.51,220,,,73.26,285.5242857,,,,244.08,,311.57
12/8/2014,,251.735,435.4833333,212.5475,272.5,288.7811111,319.615,206.4,232.0835714,,,,237.6066667,,348.295,,,,,,195.735,250.82,428.0366667,,217.51,,,456.7641176,231.75,,278.0263636,146.54375,218.5725,202.7975,276.476,,235.6757143,179.2757143,293.1903774,206.3133333,271.1721429,,165.0216667,341.02,424.2685714
12/9/2014,,400.454,414.08,275.54,220,220,317.26,244.986,192.8019048,,,,144.9275,,,,,,,,273.0175,333.374,301.178,,124.94,,,260.02,396.825,,249.1718182,194.2853846,177.75,243.644,204.0564286,,257.0116667,163.475,287.4358696,194.3475,287.2576923,,360.25,316.294,229.1566667
12/10/2014,,828.37,176.96,130.47,220,,262.3311111,222.22,265.0965,,,,156.4,377.06,,,,,,,177.714,189.3622222,340.62,,147.1233333,,,430.1466667,188.5866667,,315.9861905,207.8479167,358.8485714,226.4033333,251.8871429,,237.9146154,228.0471429,281.2137705,221.01,232.9,,217.8722222,151.2875,277.42
12/11/2014,,235.3657143,206.9666667,232.76,135,314.86,309.67,373.33,173.0896296,103.74,,,246.9285714,411.84,,,,,,,391.745,234.1033333,249.695,,,,,516.8026667,225.9575,650.23,382.1546154,191.7310526,183.77875,111.14,289.9664286,,235.125625,261.585,304.5409804,189.3833333,318.358125,,190.63,104,509.07
12/12/2014,,146.08,164.195,371.2833333,,232.7211111,224.2841667,285.498,240.8493333,,,,147.33,210.8025,641.06,,,,,,413.96,241.64125,307.975,,396.165,,,382.0495,225.04,,309.8570588,195.4228571,135.3566667,163.2433333,212.5080952,,405.7833333,297.54,298.0869512,250.284,236.6023077,,202.78,104,305.72
12/13/2014,,178.24,358.265,345.89,,135,354.3,,202.96125,,,,,76.04,,,,,,,199.895,157.8333333,127.67,,,,,382.565,,,215.9366667,234.442,213.3,,206.3525,,155.67,194.545,216.623125,243.6,230.354,,240.53,72.34,
12/15/2014,,187.50375,95.665,201.9325,220,256.39,256.5483333,484.91,207.2931034,,,,189.765,270.6066667,94.305,,,,,,207.66125,209.405,239.4233333,,369.345,,,358.8658333,138.5633333,,377.9692857,142.9015385,191.5,221.1266667,222.3109091,,290.3028571,303.505,227.4144286,213.324,267.7291667,,229.6575,225.8871429,396.77
12/16/2014,,200.35,256.85,152.27,,283.03,226.305,233.295,214.26375,,,254.545,477.43,196.02,,,,,,,211.3571429,138.2933333,,,,,,450.7033333,301.9533333,,288.5775,180.7126667,240.29,214.2175,137.3938462,,257.413,221.9733333,252.4532075,177.1933333,239.5410526,,264.6575,,465.474
12/17/2014,,229.4842857,347.8816667,156.2933333,350.805,201.4483333,409.1,322.755,226.4665,,,,252.19,142.39,,,,,,,373.31,215.8616667,323.5971429,,,,,316.06,156.77,,234.6325,171.1533333,322.5642857,36.345,154.3442857,,235.5127273,238.102,298.8654717,291.6,188.407,,225.9775,199.6883333,334.2533333
12/18/2014,,335.6066667,68.135,126.18,,278.97375,193.1185714,332.11,344.8028571,,,,277.6133333,323.405,,,,,,,176.96,179.2828571,228.1375,,167.01,,,456.6178571,,,354.0433333,227.96875,154.1383333,247.975,239.9369231,,254.0757143,201.875,277.7281667,135.66,378.9522222,,235.17875,321.71,
12/19/2014,,430.218,385.8314286,183.53,,246.6866667,297.8441667,378.3633333,241.3081481,,,,213.77,218.495,,,,,,,244.0707692,243.155,323.2175,,,,,365.6771429,248.38,,214.6446154,307.918,245.6,166.4183333,213.7547059,,186.1704545,147.9133333,285.387439,231.81,350.88,164.33,195.1455556,173.88,
12/22/2014,,290.81,404.884,226.085,21.94,223.92,273.5733333,245.7633333,244.3014286,,,,45.085,101.625,,,,,,,161.27,331.7333333,203.53,,220.8166667,,,390.1982353,300.29,,271.0118182,166.4775,178.2566667,220,246.72,,232.0073333,226.3683333,258.6477778,317.67,237.037,,417.1533333,87.31333333,108.16
12/23/2014,,149.28,146.11,415.4633333,220,261.0516667,352.907,265.194,231.4142105,,,,200.275,275,,,,,,,275.4828571,241.0892308,72.61,,206.405,,,346.6916667,180.685,,367.1825,177.0163636,213.958,291.43,253.24,,195.0127273,246.46,314.6434783,393.9533333,352.5946667,,254.2428571,286.728,295.9333333
12/24/2014,,124.4533333,337.92,209.72,,587.15,314.5666667,243.7833333,226.5416667,,,,,166.88,,,226.88,,,,147.3933333,232.52,503.92,,,,,338.6215385,,,311.4433333,195.9363636,188.2466667,251.2466667,174.3157143,,208.6788889,119.115,314.0570455,220,235.0011765,,288.0966667,,195.11
12/26/2014,,229.9016667,506.77,171.1325,220,310.2122222,227.73,281.176,235.04,220,,,112.9775,53.935,220,,124.7,,,,183.4122222,213.867,250.51,,139.48,,,330.8236364,177.27,,390.3861538,247.9521429,146.675,170.48,185.2681818,,229.35,155.566,227.8474242,220,245.86125,,197.5228571,126.585,268.3975
12/27/2014,,,,,,,317.81,,220,,,,,,,,,,,,,,,,,,,638.59,,,,,,,,,154.13,,,,,,,,
12/29/2014,,358.96,131.13,45.74,,216.5757143,214.1433333,200.0666667,245.9852941,,,,245.65,129.48,102.67,,,,,,138.81,393.6466667,406.14,,386.82,,,332.498,108.59,,393.99,157.2415385,159.99,373.854,209.12375,,364.64,367.0866667,295.2476471,172.155,267.9694118,,327.9528571,236.45,336.81
12/30/2014,,308.76,131.6633333,475,,382.12,207.2115385,145.27,206.3126087,,,,135,171.815,235.89,,,,,,216.49,249.88,297.245,,129,,,333.1584615,168.56,,272.6321429,143.0814286,314.5466667,188.23,151.073,,268.8257143,262.93,324.3486957,221.6666667,303.9352632,,177.9514286,176.8775,301.2533333
12/31/2014,,106.6466667,183.362,328.9071429,,201.8233333,240.8318182,527.23,221.398125,,,,132.505,304.415,,,,,,,316.4857143,170.73,293.005,,,,,300.56125,211.835,,305.789,205.2164286,290.7342857,192.20125,225.1083333,,186.2785714,283.6016667,262.5553425,297.32,295.5620833,,327.2883333,105.64,264.425
2/2/2015,,,156.917,145.8271,,179.2083333,259.5601111,,221.7428286,,,,,182.078,,,,,,,316.504,227.98995,216.408,,229.712,,,275.625,220,,249.4260889,334.9023077,221.8092455,232.579,206.422,,274.0938,367.54,255.9526328,574.166,213.0422563,,304.1374,194.577,293.759
2/3/2015,,390.9623636,302.6763167,193.6974833,,331.535,196.9436667,,228.64152,,,,144.539,128.9045,,,,,,,650.227,307.47764,684.4296,,,,,340.63866,387.7942,,217.2637,147.9284545,231.9377667,295.4415333,316.268,,343.6008333,198.055,243.6318862,195.9824,250.03355,,258.1016556,,279.7254
2/4/2015,,198.7914545,238.7457556,182.2045,,296.4419967,195.0772583,262.2606667,219.8926192,,,,,,,,,,,,210.4144833,289.7579857,307.4595,,220,,,336.4391905,288.1115,,339.7295294,173.62762,199.25526,202.1078143,257.502375,,228.2034545,165.77032,253.3534254,186.6255,238.3580941,,381.8283,107.0225,194.8316857
2/5/2015,,307.83705,195.823875,249.31034,139.871,208.2237667,275.8451765,315.628,251.5543682,,,,341.0725,207.8035,,,,,,,416.6248333,210.8391167,389.4434,,17.0625,,,369.5922727,222.503,,274.9011111,178.748475,248.00122,294.6749556,237.40988,,211.9757917,201.1557667,237.8674591,176.5,355.08325,,277.8762,218.5425,413.2430667
2/6/2015,,140.4251628,213.8681091,141.8007667,,225.2249091,255.1337857,440.55375,227.4183529,,,,97.10686667,274.4545,,,,,,,248.107375,240.8608941,353.31512,,315.952,,,404.5867545,350.69325,,275.3395,213.3896917,235.2393278,244.0663333,245.0519647,,251.0792,246.4789706,239.9674576,289.06,262.3689688,,334.15882,171.287,465.9938333
2/7/2015,,72.0797,,425.408,,,127.708,,135.0163167,,,,,,,,,,,,,37.2738,121.63525,,,,,,625.162,,223.304,207.889,,,143.797325,,359.659,145.6831333,250.10005,,70.9846,,163.776,,
2/10/2015,,206.76775,91.908,426.637,,184.8063333,390.768,,220,,,,,285.9026667,,,,,,,249.717,257.82825,,,162.0875,,,369.2087875,,,258.7756667,131.3096167,157.6983833,204.282,206.31435,,170.28345,131.61045,244.7027765,155.864,263.3046,,185.9355,,145.497
2/11/2015,,245.5044308,142.4308667,228.8753833,,261.5752143,401.1403231,190.589,243.3105357,,,,215.6895286,135.97606,,,,,,,149.1021333,192.9273154,302.773875,,,,,420.7961429,237.456,,418.1522235,202.7381417,297.2009,263.7079143,223.0010286,,329.4284083,229.6429071,253.283388,228.81275,270.8652538,,176.7713333,,187.37395
2/12/2015,,232.3628714,173.8459125,210.3776,,305.9081667,240.7497154,249.9783333,167.3246154,,,,110.4117667,153.349,,,,,,,265.8415714,242.3188529,245.2211667,,200.8266667,,,341.4855526,204.44375,,291.6775947,196.7459867,195.8359636,271.953,244.0113167,,281.8604,224.7476667,273.1594028,230.3071,251.8359524,,294.70072,,250.6323333
